rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_pax_this_period,total_pax_last_period,total_pax_percent,terminal_pax_this_period,terminal_pax_last_period,terminal_pax_percent,transit_pax_this_period,transit_pax_last_period,transit_pax_percent
05-May-2016 09:26,201603,201503,Other UK Airports             ,ABERDEEN                      , 236318 , 281553 ,-16.06625 , 236318 , 281553 ,-16.06625 , 0 , 0 ,Null
05-May-2016 09:26,201603,201503,Non UK Reporting Airports     ,ALDERNEY                      , 4377 , 4256 , 2.843045 , 4377 , 4256 , 2.843045 , 0 , 0 ,Null
05-May-2016 09:26,201603,201503,Other UK Airports             ,BARRA                         , 1030 , 594 , 73.40067 , 1030 , 594 , 73.40067 , 0 , 0 ,Null
05-May-2016 09:26,201603,201503,Other UK Airports             ,BELFAST CITY (GEORGE BEST)    , 209386 , 210413 ,-0.4880877 , 209386 , 210413 ,-0.4880877 , 0 , 0 ,Null
05-May-2016 09:26,201603,201503,Other UK Airports             ,BELFAST INTERNATIONAL         , 370884 , 331707 , 11.81072 , 370884 , 331487 , 11.88493 , 0 , 220 ,Null
05-May-2016 09:26,201603,201503,Other UK Airports             ,BENBECULA                     , 2561 , 2629 ,-2.586535 , 2561 , 2629 ,-2.586535 , 0 , 0 ,Null
05-May-2016 09:26,201603,201503,Other UK Airports             ,BIGGIN HILL                   , 0 , 264 ,Null, 0 , 264 ,Null, 0 , 0 ,Null
05-May-2016 09:26,201603,201503,Other UK Airports             ,BIRMINGHAM                    , 831174 , 730870 , 13.72392 , 830441 , 729748 , 13.79832 , 733 , 1122 ,-34.67023 
05-May-2016 09:26,201603,201503,Other UK Airports             ,BLACKPOOL                     , 2781 , 1994 , 39.46841 , 2781 , 1994 , 39.46841 , 0 , 0 ,Null
05-May-2016 09:26,201603,201503,Other UK Airports             ,BOURNEMOUTH                   , 37191 , 27186 , 36.80203 , 37191 , 27012 , 37.68325 , 0 , 174 ,Null
05-May-2016 09:26,201603,201503,Other UK Airports             ,BRISTOL                       , 511908 , 448061 , 14.24962 , 511153 , 447614 , 14.19504 , 755 , 447 , 68.9038 
05-May-2016 09:26,201603,201503,Other UK Airports             ,CAMBRIDGE                     , 0 , 235 ,Null, 0 , 235 ,Null, 0 , 0 ,Null
05-May-2016 09:26,201603,201503,Other UK Airports             ,CAMPBELTOWN                   , 739 , 608 , 21.54605 , 739 , 608 , 21.54605 , 0 , 0 ,Null
05-May-2016 09:26,201603,201503,Other UK Airports             ,CARDIFF WALES                 , 79085 , 60508 , 30.70173 , 78229 , 60508 , 29.28704 , 856 , 0 ,Null
05-May-2016 09:26,201603,201503,Other UK Airports             ,CITY OF DERRY (EGLINTON)      , 25590 , 24140 , 6.006628 , 25590 , 24140 , 6.006628 , 0 , 0 ,Null
05-May-2016 09:26,201603,201503,Other UK Airports             ,COVENTRY                      , 0 , 0 ,Null, 0 , 0 ,Null, 0 , 0 ,Null
05-May-2016 09:26,201603,201503,Other UK Airports             ,DONCASTER SHEFFIELD           , 76115 , 48677 , 56.36749 , 76115 , 48677 , 56.36749 , 0 , 0 ,Null
05-May-2016 09:26,201603,201503,Other UK Airports             ,DUNDEE                        , 1623 , 1386 , 17.09957 , 1623 , 1386 , 17.09957 , 0 , 0 ,Null
05-May-2016 09:26,201603,201503,Other UK Airports             ,DURHAM TEES VALLEY            , 11957 , 11996 ,-0.3251084 , 11933 , 11979 ,-0.3840053 , 24 , 17 , 41.17647 
05-May-2016 09:26,201603,201503,Other UK Airports             ,EAST MIDLANDS INTERNATIONAL   , 281902 , 258473 , 9.064389 , 281902 , 257968 , 9.277895 , 0 , 505 ,Null
05-May-2016 09:26,201603,201503,Other UK Airports             ,EDINBURGH                     , 927127 , 790242 , 17.32191 , 927127 , 790235 , 17.32295 , 0 , 7 ,Null
05-May-2016 09:26,201603,201503,Other UK Airports             ,EXETER                        , 54347 , 55107 ,-1.379135 , 54347 , 55107 ,-1.379135 , 0 , 0 ,Null
05-May-2016 09:26,201603,201503,London Area Airports          ,GATWICK                       , 3129350 , 2958178 , 5.786399 , 3128831 , 2956922 , 5.813782 , 519 , 1256 ,-58.67834 
05-May-2016 09:26,201603,201503,Other UK Airports             ,GLASGOW                       , 660129 , 606565 , 8.83071 , 659487 , 605971 , 8.831446 , 642 , 594 , 8.080808 
05-May-2016 09:26,201603,201503,Other UK Airports             ,GLOUCESTERSHIRE               , 868 , 1156 ,-24.91349 , 868 , 1156 ,-24.91349 , 0 , 0 ,Null
05-May-2016 09:26,201603,201503,Non UK Reporting Airports     ,GUERNSEY                      , 70707 , 70293 , 0.5889633 , 67255 , 67427 ,-0.2550907 , 3452 , 2866 , 20.44662 
05-May-2016 09:26,201603,201503,London Area Airports          ,HEATHROW                      , 6102492 , 5951061 , 2.544605 , 6100214 , 5949719 , 2.529447 , 2278 , 1342 , 69.74664 
05-May-2016 09:26,201603,201503,Other UK Airports             ,HUMBERSIDE                    , 16125 , 17579 ,-8.271233 , 16095 , 17572 ,-8.405417 , 30 , 7 , 328.5714 
05-May-2016 09:26,201603,201503,Other UK Airports             ,INVERNESS                     , 52603 , 55995 ,-6.057684 , 52501 , 55828 ,-5.959375 , 102 , 167 ,-38.92216 
05-May-2016 09:26,201603,201503,Other UK Airports             ,ISLAY                         , 2116 , 2210 ,-4.253394 , 2094 , 2194 ,-4.557885 , 22 , 16 , 37.5 
05-May-2016 09:26,201603,201503,Non UK Reporting Airports     ,ISLE OF MAN                   , 67031 , 61908 , 8.275183 , 66985 , 61901 , 8.213115 , 46 , 7 , 557.1429 
05-May-2016 09:26,201603,201503,Other UK Airports             ,ISLES OF SCILLY (ST.MARYS)    , 5670 , 5189 , 9.269608 , 5670 , 5189 , 9.269608 , 0 , 0 ,Null
05-May-2016 09:26,201603,201503,Non UK Reporting Airports     ,JERSEY                        , 119041 , 112421 , 5.888579 , 117196 , 110606 , 5.958086 , 1845 , 1815 , 1.652893 
05-May-2016 09:26,201603,201503,Other UK Airports             ,KIRKWALL                      , 13040 , 12818 , 1.731939 , 12054 , 11992 , 0.5170113 , 986 , 826 , 19.37046 
05-May-2016 09:26,201603,201503,Other UK Airports             ,LANDS END (ST JUST)           , 4276 , 3917 , 9.165177 , 4260 , 3863 , 10.27699 , 16 , 54 ,-70.37037 
05-May-2016 09:26,201603,201503,Other UK Airports             ,LEEDS BRADFORD                , 221141 , 205718 , 7.497156 , 221067 , 203245 , 8.768727 , 74 , 2473 ,-97.00768 
05-May-2016 09:26,201603,201503,Other UK Airports             ,LERWICK (TINGWALL)            , 318 , 289 , 10.0346 , 318 , 289 , 10.0346 , 0 , 0 ,Null
05-May-2016 09:26,201603,201503,Other UK Airports             ,LIVERPOOL (JOHN LENNON)       , 377393 , 320751 , 17.65918 , 377380 , 320569 , 17.72193 , 13 , 182 ,-92.85714 
05-May-2016 09:26,201603,201503,London Area Airports          ,LONDON CITY                   , 374989 , 378776 ,-0.9997994 , 374911 , 378776 ,-1.020392 , 78 , 0 ,Null
05-May-2016 09:26,201603,201503,London Area Airports          ,LUTON                         , 1045137 , 839319 , 24.52202 , 1044561 , 839316 , 24.45384 , 576 , 3 , 19100 
05-May-2016 09:26,201603,201503,Other UK Airports             ,LYDD                          , 52 , 0 ,Null, 52 , 0 ,Null, 0 , 0 ,Null
05-May-2016 09:26,201603,201503,Other UK Airports             ,MANCHESTER                    , 1747106 , 1574561 , 10.95829 , 1742556 , 1570488 , 10.95634 , 4550 , 4073 , 11.71127 
05-May-2016 09:26,201603,201503,Other UK Airports             ,NEWCASTLE                     , 299249 , 300766 ,-0.5043788 , 298856 , 300475 ,-0.5388135 , 393 , 291 , 35.05155 
05-May-2016 09:26,201603,201503,Other UK Airports             ,NEWQUAY                       , 18591 , 16284 , 14.16728 , 18564 , 16210 , 14.5219 , 27 , 74 ,-63.51351 
05-May-2016 09:26,201603,201503,Other UK Airports             ,NORWICH                       , 33565 , 29511 , 13.73725 , 33565 , 29511 , 13.73725 , 0 , 0 ,Null
05-May-2016 09:26,201603,201503,Other UK Airports             ,OXFORD (KIDLINGTON)           , 8 , 0 ,Null, 8 , 0 ,Null, 0 , 0 ,Null
05-May-2016 09:26,201603,201503,Other UK Airports             ,PRESTWICK                     , 38984 , 24236 , 60.85163 , 38601 , 24236 , 59.27133 , 383 , 0 ,Null
05-May-2016 09:26,201603,201503,Other UK Airports             ,SCATSTA                       , 14525 , 23972 ,-39.40848 , 14525 , 23972 ,-39.40848 , 0 , 0 ,Null
05-May-2016 09:26,201603,201503,Other UK Airports             ,SHOREHAM                      , 57 , 29 , 96.55173 , 57 , 29 , 96.55173 , 0 , 0 ,Null
05-May-2016 09:26,201603,201503,Other UK Airports             ,SOUTHAMPTON                   , 146413 , 148915 ,-1.680153 , 146413 , 147198 ,-0.5332953 , 0 , 1717 ,Null
05-May-2016 09:26,201603,201503,London Area Airports          ,SOUTHEND                      , 69170 , 74571 ,-7.242762 , 69088 , 74571 ,-7.352724 , 82 , 0 ,Null
05-May-2016 09:26,201603,201503,London Area Airports          ,STANSTED                      , 1892233 , 1666162 , 13.56837 , 1892102 , 1665751 , 13.58853 , 131 , 411 ,-68.12652 
05-May-2016 09:26,201603,201503,Other UK Airports             ,STORNOWAY                     , 10117 , 10614 ,-4.682495 , 9931 , 10397 ,-4.482062 , 186 , 217 ,-14.28571 
05-May-2016 09:26,201603,201503,Other UK Airports             ,SUMBURGH                      , 17448 , 20913 ,-16.56864 , 17002 , 20776 ,-18.16519 , 446 , 137 , 225.5474 
05-May-2016 09:26,201603,201503,Other UK Airports             ,TIREE                         , 822 , 640 , 28.4375 , 793 , 625 , 26.88 , 29 , 15 , 93.33334 
05-May-2016 09:26,201603,201503,Other UK Airports             ,WICK JOHN O GROATS            , 1917 , 2114 ,-9.318827 , 1898 , 2054 ,-7.594937 , 19 , 60 ,-68.33334 
